route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
1,2,"1","","BOLSZEWO LEŚNA - SZKOŁA 02 - Bolszewo/Leśna - Bolszewo/Zamostna - Bolszewo/Główna - Bolszewo/Szkolna - Wejherowo/Przemysłowa - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Gdańska - Wejherowo/Orzeszkowej - Wejherowo/Fenikowskiego - WEJHEROWO OS. FENIKOWSKIEGO 01|WEJHEROWO OS. FENIKOWSKIEGO 01 - Wejherowo/Orzeszkowej - Wejherowo/Gdańska - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Kociewska - Wejherowo/Pomorska - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Przemysłowa - Bolszewo/Szkolna - Bolszewo/Główna - Bolszewo/Zamostna - Bolszewo/Leśna - BOLSZEWO LEŚNA - SZKOŁA 02|WEJHEROWO OS. FENIKOWSKIEGO 01 - Wejherowo/Fenikowskiego - Wejherowo/Orzeszkowej - Wejherowo/Gdańska - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Kociewska - Wejherowo/Pomorska - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Przemysłowa - Bolszewo/Szkolna - Bolszewo/Główna - Bolszewo/Zamostna - Bolszewo/Leśna - BOLSZEWO LEŚNA - SZKOŁA 02",3,478AC9,FFFFFF
2,2,"2","","WEJHEROWO SZPITAL 02 - Wejherowo/Szpitalna - Wejherowo/Chopina - Wejherowo/Partyzantów - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Rybacka - Wejherowo/12 Marca - Wejherowo/Rzeźnicka - Wejherowo/Świętego Jana - Wejherowo/Plac Piłsudskiego - Wejherowo/Dworcowa - Wejherowo/Sobieskiego - Wejherowo/Mickiewicza - Wejherowo/Reformatów - Wejherowo/12 Marca - Wejherowo/Rybacka - Wejherowo/Prusa - Wejherowo/Pomorska - Wejherowo/Partyzantów - Wejherowo/Chopina - Wejherowo/Szpitalna - WEJHEROWO SZPITAL 02|WEJHEROWO SZPITAL 02 - Wejherowo/Chopina - Wejherowo/Partyzantów - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Rybacka - Wejherowo/12 Marca - Wejherowo/Rzeźnicka - Wejherowo/Świętego Jana - Wejherowo/Plac Piłsudskiego - Wejherowo/Dworcowa - Wejherowo/Sobieskiego - Wejherowo/Mickiewicza - Wejherowo/Reformatów - Wejherowo/12 Marca - Wejherowo/Rybacka - Wejherowo/Prusa - Wejherowo/Pomorska - Wejherowo/Partyzantów - Wejherowo/Chopina - Wejherowo/Szpitalna - WEJHEROWO SZPITAL 02",3,FFD923,3C3C3B
3,2,"3","","GOŚCICINO ROBAKOWSKA 02 - Gościcino/Słoneczna - Gościcino/Lęborska - Gościcino/Wejherowska - Bolszewo/Wejherowska - Wejherowo/Sucharskiego - Wejherowo/Sobieskiego - Wejherowo/Mickiewicza - Wejherowo/Reformatów - Wejherowo/Wniebowstąpienia - Wejherowo/Roszczynalskiego - WEJHEROWO ODRĘBNA 04|WEJHEROWO ODRĘBNA 01 - Wejherowo/Wniebowstąpienia - Wejherowo/Rzeźnicka - Wejherowo/Świętego Jana - Wejherowo/Sobieskiego - Wejherowo/Sucharskiego - Bolszewo/Wejherowska - Gościcino/Wejherowska - Gościcino/Lęborska - Gościcino/Słoneczna - GOŚCICINO ROBAKOWSKA 02|WEJHEROWO ODRĘBNA 01 - Wejherowo/Roszczynalskiego - Wejherowo/Wniebowstąpienia - Wejherowo/Rzeźnicka - Wejherowo/Świętego Jana - Wejherowo/Sobieskiego - Wejherowo/Sucharskiego - Bolszewo/Wejherowska - Gościcino/Wejherowska - Gościcino/Lęborska - Gościcino/Słoneczna - GOŚCICINO ROBAKOWSKA 02",3,E62E39,FFFFFF
4,2,"4","","ORLE ŁĄKOWA 02 - Orle/Wejhera - Bolszewo/Długa - Bolszewo/Wspólna - Bolszewo/Słoneczna - Bolszewo/Szkolna - Wejherowo/Tartaczna - Wejherowo/Batalionu Morskiego - Wejherowo/Sobieskiego - Wejherowo/3 Maja - WEJHEROWO STAROSTWO POWIATOWE 02|WEJHEROWO STAROSTWO POWIATOWE 02 - Wejherowo/Hallera - Wejherowo/Sobieskiego - Wejherowo/Batalionu Morskiego - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Tartaczna - Bolszewo/Szkolna - Bolszewo/Wspólna - Bolszewo/Orzechowa - Bolszewo/Długa - Orle/Wejhera - ORLE ŁĄKOWA 02",3,F28E22,FFFFFF
5,2,"5","","ORLE ŁĄKOWA 02 - Bolszewo/Długa - Bolszewo/Zamostna - Bolszewo/Główna - Bolszewo/Szkolna - Wejherowo/Tartaczna - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Chopina - Wejherowo/Szpitalna - WEJHEROWO SZPITAL 02|ORLE ŁĄKOWA 02 - Orle/Wejhera - Bolszewo/Długa - Bolszewo/Zamostna - Bolszewo/Główna - Bolszewo/Szkolna - Wejherowo/Tartaczna - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Chopina - Wejherowo/Szpitalna - WEJHEROWO SZPITAL 02|WEJHEROWO SZPITAL 02 - Wejherowo/Chopina - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Tartaczna - Bolszewo/Szkolna - Bolszewo/Główna - Bolszewo/Zamostna - Bolszewo/Długa - Orle/Wejhera - ORLE ŁĄKOWA 02|WEJHEROWO SZPITAL 02 - Wejherowo/Szpitalna - Wejherowo/Chopina - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Tartaczna - Bolszewo/Szkolna - Bolszewo/Główna - Bolszewo/Zamostna - Bolszewo/Długa - Orle/Wejhera - ORLE ŁĄKOWA 02",3,7E4795,FFFFFF
6,2,"6","","WEJHEROWO OS. FENIKOWSKIEGO 01 - Wejherowo/Fenikowskiego - Wejherowo/Gryfa Pomorskiego - Wejherowo/Necla - Wejherowo/Prusa - Wejherowo/Pomorska - Wejherowo/Partyzantów - Wejherowo/Chopina - Wejherowo/Nadrzeczna - Wejherowo/Lelewela - Wejherowo/Graniczna - Wejherowo/Przemysłowa - WEJHEROWO KARNOWSKIEGO 02|WEJHEROWO KARNOWSKIEGO 02 - Wejherowo/Graniczna - Wejherowo/Lelewela - Wejherowo/Nadrzeczna - Wejherowo/Chopina - Wejherowo/Partyzantów - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Necla - Wejherowo/Gryfa Pomorskiego - Wejherowo/Fenikowskiego - WEJHEROWO OS. FENIKOWSKIEGO 01|WEJHEROWO KARNOWSKIEGO 02 - Wejherowo/Przemysłowa - Wejherowo/Graniczna - Wejherowo/Lelewela - Wejherowo/Nadrzeczna - Wejherowo/Chopina - Wejherowo/Partyzantów - Wejherowo/Pomorska - Wejherowo/Prusa - Wejherowo/Necla - Wejherowo/Gryfa Pomorskiego - Wejherowo/Fenikowskiego - WEJHEROWO OS. FENIKOWSKIEGO 01",3,BC6224,FFFFFF
7,2,"7","","GOŚCICINO PKP 01 - Gościcino/Drzewiarza - Gościcino/Południowa - Wejherowo/Sucharskiego - Wejherowo/Sobieskiego - Wejherowo/3 Maja - Wejherowo/Marynarki Wojennej - WEJHEROWO CEGIELNIA 01|WEJHEROWO CEGIELNIA 01 - Wejherowo/3 Maja - Wejherowo/Sobieskiego - Wejherowo/Sucharskiego - Wejherowo/Zybertowska - Gościcino/Południowa - Gościcino/Drzewiarza - GOŚCICINO PKP 01|WEJHEROWO CEGIELNIA 01 - Wejherowo/Marynarki Wojennej - Wejherowo/3 Maja - Wejherowo/Sobieskiego - Wejherowo/Sucharskiego - Wejherowo/Zybertowska - Gościcino/Południowa - Gościcino/Drzewiarza - GOŚCICINO PKP 01",3,532A44,FFFFFF
8,2,"8","","RUMIA C.H. ""PORT RUMIA"" 01 - Rumia/Grunwaldzka - Rumia/Kosynierów - Reda/Morska - Reda/Młyńska - Reda/Gdańska - Reda/Pucka - Reda/Wejherowska - Wejherowo/Orzeszkowej - Wejherowo/Fenikowskiego - Wejherowo/Orzeszkowej - Wejherowo/Gdańska - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Kociewska - Wejherowo/Pomorska - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Chopina - Wejherowo/Szpitalna - WEJHEROWO SZPITAL 02|WEJHEROWO SZPITAL 02 - Wejherowo/Chopina - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Gdańska - Wejherowo/Orzeszkowej - Wejherowo/Fenikowskiego - Wejherowo/Orzeszkowej - Wejherowo/Gdańska - Reda/Wejherowska - Reda/Gdańska - Reda/Młyńska - Reda/Morska - Rumia/Kosynierów - Rumia/Grunwaldzka - RUMIA C.H. ""PORT RUMIA"" 01|WEJHEROWO SZPITAL 02 - Wejherowo/Szpitalna - Wejherowo/Chopina - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Gdańska - Wejherowo/Orzeszkowej - Wejherowo/Fenikowskiego - Wejherowo/Orzeszkowej - Wejherowo/Gdańska - Reda/Wejherowska - Reda/Gdańska - Reda/Młyńska - Reda/Morska - Rumia/Kosynierów - Rumia/Grunwaldzka - RUMIA C.H. ""PORT RUMIA"" 01",3,007166,FFFFFF
9,2,"9","","REDA REKOWO LIPOWA 02 - Reda/Lipowa - Reda/Długa - Reda/Pucka - Reda/Nowa - Reda/Wrzosowa - Reda/Obwodowa - Reda/Łąkowa - Reda/Gdańska - Rumia/Grunwaldzka - Rumia/Starowiejska - RUMIA DWORZEC PKP 06|RUMIA DWORZEC PKP 06 - Rumia/Grunwaldzka - Reda/Gdańska - Reda/Łąkowa - Reda/Obwodowa - Reda/Kazimierska - Reda/Pucka - Reda/Handlowa - Reda/Długa - Reda/Lipowa - REDA REKOWO LIPOWA 02|RUMIA DWORZEC PKP 06 - Rumia/Starowiejska - Rumia/Grunwaldzka - Reda/Gdańska - Reda/Łąkowa - Reda/Obwodowa - Reda/Kazimierska - Reda/Pucka - Reda/Handlowa - Reda/Długa - Reda/Lipowa - REDA REKOWO LIPOWA 02",3,B092C4,3C3C3B
10,2,"10","","KĘBŁOWO WIEJSKA 01 - Kębłowo/Wiejska - Kębłowo/Ludowa - Kochanowo/Świętego Wawrzyńca - Kochanowo/Borysiewicza - Gościcino/Kochanowska - Gościcino/Lęborska - Gościcino/Wejherowska - Bolszewo/Wejherowska - Wejherowo/1 Brygady Pancernej WP - Wejherowo/Pomorska - WEJHEROWO POMORSKA 02|WEJHEROWO POMORSKA 02 - Wejherowo/Kociewska - Wejherowo/1 Brygady Pancernej WP - Bolszewo/Wejherowska - Gościcino/Wejherowska - Gościcino/Lęborska - Gościcino/Kochanowska - Kochanowo/Borysiewicza - Kochanowo/Świętego Wawrzyńca - Kębłowo/Ludowa - Kębłowo/Wiejska - KĘBŁOWO WIEJSKA 01|WEJHEROWO POMORSKA 02 - Wejherowo/Pomorska - Wejherowo/Kociewska - Wejherowo/1 Brygady Pancernej WP - Bolszewo/Wejherowska - Gościcino/Wejherowska - Gościcino/Lęborska - Gościcino/Kochanowska - Kochanowo/Borysiewicza - Kochanowo/Świętego Wawrzyńca - Kębłowo/Ludowa - Kębłowo/Wiejska - KĘBŁOWO WIEJSKA 01",3,76B82D,FFFFFF
